bg,CRA,portion
530330001001,8.3,1
530330001002,8.3,1
530330001003,8.3,1
530330001004,8.3,1
530330001005,8.3,1
530330002001,8.2,1
530330002002,8.2,1
530330002003,8.2,1
530330002004,8.2,1
530330002005,8.2,1
530330002006,8.2,1
530330003001,9.5,1
530330003002,9.5,1
530330004011,9.1,1
530330004012,9.1,1
530330004013,9.1,1
530330004021,9.1,1
530330004022,9.1,1
530330004023,9.1,1
530330004024,9.1,1
530330005001,9.1,1
530330005002,9.1,1
530330005003,9.1,1
530330006001,9.5,1
530330006002,9.5,1
530330006003,9.5,1
530330006004,9.5,1
530330006005,9.5,1
530330006006,9.5,1
530330007001,8.2,1
530330007002,8.2,1
530330007003,8.2,1
530330007004,8.2,1
530330008001,8.3,1
530330008002,8.3,1
530330009001,8.3,1
530330009002,8.3,1
530330010001,8.3,1
530330010002,8.3,1
530330011001,8.2,1
530330011002,8.2,1
530330012001,8.1,1
530330012002,8.1,1
530330012003,8.1,1
530330012004,8.1,1
530330012005,8.1,1
530330013001,9.2,1
530330013002,9.2,1
530330013003,9.2,1
530330014001,10.1,1
530330014002,10.1,1
530330014003,10.1,1
530330014004,10.1,1
530330015001,10.1,1
530330015002,10.1,1
530330016001,10.1,1
530330016002,10.1,1
530330016003,10.1,1
530330017011,9.3,1
530330017012,9.3,1
530330017013,9.3,1
530330017021,9.3,1
530330017022,9.3,1
530330017023,9.3,1
530330017024,9.3,1
530330018001,9.2,1
530330018002,9.2,1
530330018003,9.2,1
530330019001,8.1,1
530330019002,8.1,1
530330019003,8.1,1
530330020001,8.1,1
530330020002,8.1,1
530330020003,8.1,1
530330021001,7.4,1
530330021002,7.4,1
530330021003,7.4,1
530330022001,7.4,1
530330022002,7.4,1
530330022003,7.4,1
530330022004,7.4,1
530330024001,7.4,1
530330024002,7.4,1
530330024003,7.4,1
530330025001,7.3,1
530330025002,7.3,1
530330026001,7.3,1
530330026002,7.3,1
530330026003,7.3,1
530330026004,7.3,1
530330027001,9.4,1
530330027002,9.4,1
530330027003,9.4,1
530330027004,9.4,1
530330028001,9.3,1
530330028002,9.3,1
530330028003,9.3,1
530330028004,9.3,1
530330029001,9.3,1
530330029002,9.3,1
530330029003,9.3,1
530330030001,10.2,1
530330030002,10.2,1
530330030003,10.2,1
530330030004,10.2,1
530330031001,10.3,1
530330031002,10.3,1
530330031003,10.3,1
530330031004,10.3,1
530330031005,10.3,1
530330032001,10.3,1
530330032002,10.3,1
530330032003,10.3,1
530330032004,10.3,1
530330032005,10.3,1
530330032006,10.3,1
530330032007,10.3,1
530330033001,10.2,1
530330033002,10.2,1
530330033003,10.2,1
530330033004,10.2,1
530330033005,10.2,1
530330034001,9.3,1
530330034002,9.3,1
530330034003,9.3,1
530330035001,9.3,1
530330035002,9.3,1
530330035003,9.3,1
530330036001,9.4,1
530330036002,9.4,1
530330036003,9.4,1
530330036004,9.4,1
530330038001,7.3,1
530330038002,7.3,1
530330039001,7.4,1
530330039002,7.4,1
530330040001,7.5,1
530330040002,7.5,1
530330041001,7.5,1
530330041002,7.5,1
530330041003,7.5,1
530330041004,7.5,1
530330041005,7.5,1
530330041006,7.5,1
530330042001,7.3,1
530330042002,7.3,1
530330042003,7.3,1
530330042004,7.3,1
530330042005,7.3,1
530330043011,7.3,1
530330043012,7.3,1
530330043013,7.3,1
530330043021,7.3,1
530330043022,7.3,1
530330044001,7.2,1
530330044002,7.2,1
530330044003,7.2,1
530330044004,7.2,1
530330045001,11.2,1
530330045002,11.2,1
530330046001,9.4,1
530330046002,9.4,1
530330046003,9.4,1
530330047001,10.4,1
530330047002,10.4,1
530330047003,10.4,1
530330047004,10.4,1
530330048001,11.1,1
530330048002,11.1,1
530330048003,11.1,1
530330048004,11.1,1
530330049001,11.1,1
530330049002,11.1,1
530330049003,11.1,1
530330049004,11.1,1
530330049005,11.1,1
530330050001,11.2,1
530330050002,11.2,1
530330050003,11.2,1
530330051001,11.2,1
530330051002,11.2,1
530330051003,11.2,1
530330052001,11.2,1
530330052002,11.2,1
530330052003,11.2,1
530330052004,11.2,1
530330052005,11.2,1
530330053011,7.2,1
530330053012,7.2,1
530330053013,7.2,1
530330053014,7.2,1
530330053021,7.2,1
530330053022,7.2,1
530330053023,7.2,1
530330054001,11.1,1
530330054002,11.1,1
530330054003,11.1,1
530330054004,11.1,1
530330056001,12.1,1
530330056002,12.1,1
530330056003,12.1,1
530330056004,12.1,1
530330056005,12.1,1
530330057001,12.1,1
530330057002,12.1,1
